No	ADP_DET.Masc.Sing	em_o
Brasil	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
aproximadamente	ADV	aproximadamente
7	NUM	7
em	ADP	em
cada	NOUN.Masc.Sing	cada
10	NUM	10
pessoas	NOUN.Fem.Plur	pessoa
não	ADV	não
têm	VERB.Fin.Plur	ter
domínio	NOUN.Masc.Sing	domínio
mínimo	ADJ.Masc.Sing	pequeno
da	ADP_DET.Fem.Sing	de_o
Matemática	PROPN.Fem.Sing	Matemática
e	CCONJ	e
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
o	DET.Masc.Sing	o
senso	NOUN.Masc.Sing	senso
comum	ADJ.Masc.Sing	comum
,	PUNCT.Comma	,
existe	VERB.Fin.Sing	existir
a	DET.Fem.Sing	o
interpretação	NOUN.Fem.Sing	interpretação
de	ADP	de
que	SCONJ	que
a	DET.Fem.Sing	o
habilidade	NOUN.Fem.Sing	habilidade
com	ADP	com
os	DET.Masc.Plur	o
números	NOUN.Masc.Plur	número
não	ADV	não
é	AUX.Fin.Sing	ser
para	ADP	para
todos	PRON.Masc.Plur	todo
.	PUNCT.Sent	.
Acreditamos	VERB.Fin.Plur	acreditar
,	PUNCT.Comma	,
por	ADP	por
meio	NOUN	meio
da	ADP_DET.Fem.Sing	de_o
observação	NOUN.Fem.Sing	observação
de	ADP	de
resultados	NOUN.Masc.Plur	resultado
de	ADP	de
pesquisas	NOUN.Fem.Plur	pesquisa
recentes	ADJ.Fem.Plur	recente
,	PUNCT.Comma	,
que	SCONJ	que
a	DET.Fem.Sing	o
Matemática	PROPN.Fem.Sing	Matemática
não	ADV	não
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
para	ADP	para
poucos	PRON.Masc.Plur	pouco
.	PUNCT.Sent	.
Segundo	ADP	segundo
Boaler	PROPN.Masc.Sing	<unknown>
:	PUNCT.Colon	:
