##	VERB.Fin.Sing	<unknown>
2.6.1	NUM	@card@
Campo	PROPN.Masc.Sing	Campo
de	ADP	de
Experiências	PROPN.Sing	Experiências
:	PUNCT.Colon	:
o	DET.Masc.Sing	o
Eu	PRON.Masc.Sing	eu
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Outro	DET.Masc.Sing	outro
e	CCONJ	e
o	PRON.Masc.Sing	o
Nós	PRON.Plur	nós
É	ADV	é
na	ADP_DET.Fem.Sing	em_o
interação	NOUN.Fem.Sing	interação
com	ADP	com
os	DET.Masc.Plur	o
pares	NOUN.Masc.Plur	par
e	CCONJ	e
com	ADP	com
adultos	NOUN.Masc.Plur	adulto
que	PRON.Rel.Masc.Plur	que
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
vão	AUX.Fin.Plur	ir
constituindo	VERB.Part	constituir
um	DET.Masc.Sing	um
modo	NOUN.Masc.Sing	modo
próprio	ADJ.Masc.Sing	próprio
de	ADP	de
agir	VERB.Inf	agir
,	PUNCT.Comma	,
sentir	VERB.Inf	sentir
e	CCONJ	e
pensar	VERB.Inf	pensar
e	CCONJ	e
vão	AUX.Fin.Plur	ir
descobrindo	VERB.Part	descobrir
que	SCONJ	que
existem	VERB.Fin.Plur	existir
outros	DET.Masc.Plur	outro
modos	NOUN.Masc.Plur	modo
de	ADP	de
vida	NOUN.Fem.Sing	vida
,	PUNCT.Comma	,
pessoas	NOUN.Fem.Plur	pessoa
diferentes	ADJ.Fem.Plur	diferente
,	PUNCT.Comma	,
com	ADP	com
outros	DET.Masc.Plur	outro
pontos	NOUN.Masc.Plur	ponto
de	ADP	de
vista	NOUN	vista
.	PUNCT.Sent	.
Conforme	ADV	conforme
vivem	VERB.Fin.Plur	viver
suas	DET.Fem.Plur	seu
primeiras	ADJ.Fem.Plur	primeiro
experiências	NOUN.Fem.Plur	experiência
sociais	ADJ.Fem.Plur	social
(	PUNCT.Par.Left	(
na	ADP_DET.Fem.Sing	em_o
família	NOUN.Fem.Sing	família
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
instituição	NOUN.Fem.Sing	instituição
escolar	ADJ.Fem.Sing	escolar
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
coletividade	NOUN.Fem.Sing	coletividade
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
constroem	VERB.Fin.Plur	construir
percepções	NOUN.Fem.Plur	percepção
e	CCONJ	e
questionamentos	NOUN.Masc.Plur	questionamento
sobre	ADP	sobre
si	PRON.Masc.Plur	se
e	CCONJ	e
sobre	ADP	sobre
os	DET.Masc.Plur	o
outros	PRON.Masc.Plur	outro
,	PUNCT.Comma	,
diferenciando	VERB.Part	diferenciar
-se	PRON.Masc.Sing	se
e	CCONJ	e
,	PUNCT.Comma	,
simultaneamente	ADV	simultaneamente
,	PUNCT.Comma	,
identificando	VERB.Part	identificar
-se	PRON.Masc.Sing	se
como	ADP	como
seres	NOUN.Masc.Plur	ser
individuais	ADJ.Masc.Plur	individual
e	CCONJ	e
sociais	ADJ.Masc.Plur	social
.	PUNCT.Sent	.
Ao	ADP_DET.Masc.Sing	a_o
mesmo	ADJ.Masc.Sing	mesmo
tempo	NOUN.Masc.Sing	tempo
que	PRON.Rel.Masc.Sing	que
participam	VERB.Fin.Plur	participar
de	ADP	de
relações	NOUN.Fem.Plur	relação
sociais	ADJ.Fem.Plur	social
e	CCONJ	e
de	ADP	de
cuidados	NOUN.Masc.Plur	cuidado
pessoais	ADJ.Masc.Plur	pessoal
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
constroem	VERB.Fin.Plur	construir
sua	DET.Fem.Sing	seu
autonomia	NOUN.Fem.Sing	autonomia
e	CCONJ	e
senso	NOUN.Masc.Sing	senso
de	ADP	de
