TI	PRON.Masc.Sing	tu
17	NUM	17
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Povos	NOUN.Masc.Plur	povo
e	CCONJ	e
Comunidades	NOUN.Fem.Plur	comunidade
Tradicionais	ADJ.Fem.Plur	tradicional
Correspondem	VERB.Fin.Plur	corresponder
aos	ADP_DET.Masc.Plur	a_o
Povos	PROPN.Sing	Povos
e	CCONJ	e
Comunidades	NOUN.Fem.Plur	comunidade
Tradicionais	ADJ.Fem.Plur	tradicional
os	DET.Masc.Plur	o
grupos	NOUN.Masc.Plur	grupo
culturalmente	ADV	culturalmente
diferenciados	ADJ.Masc.Plur	diferenciado
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
possuem	VERB.Fin.Plur	possuir
condições	NOUN.Fem.Plur	condição
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
culturais	ADJ.Fem.Plur	cultural
e	CCONJ	e
econômicas	ADJ.Fem.Plur	econômico
próprias	ADJ.Fem.Plur	próprio
,	PUNCT.Comma	,
mantendo	VERB.Ger	manter
relações	NOUN.Fem.Plur	relação
específicas	ADJ.Fem.Plur	específico
com	ADP	com
o	DET.Masc.Sing	o
território	NOUN.Masc.Sing	território
e	CCONJ	e
com	ADP	com
o	DET.Masc.Sing	o
meio	ADJ.Masc.Sing	meio
ambiente	NOUN.Masc.Sing	ambiente
no	ADP_PRON.Masc.Sing	em_o
qual	PRON.Rel.Masc.Sing	qual
estão	AUX.Fin.Plur	estar
inseridos	VERB.Part.Masc.Plur	inserir
.	PUNCT.Sent	.
